,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,circuitId
0,1,18,1,1,22.0,1,1.0,1,1,10.0,58,39.0,2.0,01:27.5,218.3,1,1
1,2,18,2,2,3.0,5,2.0,2,2,8.0,58,41.0,3.0,01:27.7,217.586,1,1
2,3,18,3,3,7.0,7,3.0,3,3,6.0,58,41.0,5.0,01:28.1,216.719,1,1
3,4,18,4,4,5.0,11,4.0,4,4,5.0,58,58.0,7.0,01:28.6,215.464,1,1
4,5,18,5,1,23.0,3,5.0,5,5,4.0,58,43.0,1.0,01:27.4,218.385,1,1
5,6,18,6,3,8.0,13,6.0,6,6,3.0,57,50.0,14.0,01:29.6,212.974,11,1
6,7,18,7,5,14.0,17,7.0,7,7,2.0,55,22.0,12.0,01:29.5,213.224,5,1
7,8,18,8,6,1.0,15,8.0,8,8,1.0,53,20.0,4.0,01:27.9,217.18,5,1
8,9,18,9,2,4.0,2,,R,9,0.0,47,15.0,9.0,01:28.8,215.1,4,1
9,10,18,10,7,12.0,18,,R,10,0.0,43,23.0,13.0,01:29.6,213.166,3,1
10,11,18,11,8,18.0,19,,R,11,0.0,32,24.0,15.0,01:30.9,210.038,7,1
11,12,18,12,4,6.0,20,,R,12,0.0,30,20.0,16.0,01:31.4,208.907,8,1
12,13,18,13,6,2.0,4,,R,13,0.0,29,23.0,6.0,01:28.2,216.51,5,1
13,14,18,14,9,9.0,8,,R,14,0.0,25,21.0,11.0,01:29.5,213.3,4,1
14,15,18,15,7,11.0,6,,R,15,0.0,19,18.0,10.0,01:29.3,213.758,10,1
15,16,18,16,10,20.0,22,,R,16,0.0,8,8.0,17.0,01:32.0,207.461,9,1
16,17,18,17,9,10.0,14,,R,17,0.0,0,,,,,4,1
17,18,18,18,11,16.0,12,,R,18,0.0,0,,,,,4,1
18,19,18,19,8,19.0,21,,R,19,0.0,0,,,,,4,1
19,20,18,20,5,15.0,9,,R,20,0.0,0,,,,,4,1
